
Graph 1, order 15000.
202 : 8442 11647 6382;
203 : 4459 12214 1702;
204 : 14092 1501 9925;
205 : 11228 8261 11383;
206 : 6253 11635 6080;
207 : 6980 13684 8004;
208 : 8708 2032 1203;
209 : 12471 4760 12146;
210 : 6616 12803 427;
211 : 10140 9420 14559;
212 : 9722 9204 13113;
213 : 12694 4420 4955;
214 : 14279 6010 12349;
215 : 14768 12347 5843;
216 : 3969 6804 10779;
217 : 11306 795 1734;
218 : 10699 12191 14881;
219 : 4195 12950 12481;
220 : 12491 14270 7932;
221 : 4634 5320 12392;
222 : 9265 1001 11508;
223 : 48 347 8623;
224 : 5627 11559 8048;
225 : 9474 11081 6319;
226 : 9435 11321 13392;
227 : 7309 3876 790;
228 : 12453 11133 8991;
229 : 8274 10513 11436;
230 : 3167 13318 8598;
231 : 1422 10065 11426;
232 : 13104 14596 12989;
233 : 4087 6433 4323;
234 : 14645 11272 2061;
235 : 8762 11224 986;
236 : 11271 10993 5834;
237 : 628 581 3440;
238 : 3439 3287 8743;
239 : 491 1549 13558;
240 : 7441 14663 9110;
241 : 11557 4041 7751;
242 : 14910 6647 7113;
243 : 7357 10577 4998;
244 : 1702 6872 11925;
245 : 9290 3174 1696;
246 : 3423 4624 1489;
247 : 10176 3455 431;
248 : 10213 11861 6966;
249 : 3680 7669 12767;
250 : 14972 6058 11486;
251 : 10571 2211 11561;
252 : 9960 325 1006;
253 : 1103 14077 5931;
254 : 6187 2117 8145;
255 : 10005 9314 1041;
256 : 12288 3897 10494;
257 : 861 7911 14446;
258 : 10474 2602 479;
259 : 13478 9532 10809;
260 : 4335 13876 14150;
261 : 14876 2878 5003;
262 : 12449 5234 6775;
263 : 7526 10123 1935;
264 : 9436 10682 5677;
265 : 1939 14286 8549;
266 : 13620 9502 5507;
267 : 5309 14732 6514;
268 : 7766 8301 621;
269 : 8028 811 6349;
270 : 12428 9430 9296;
271 : 7425 13152 14200;
272 : 4248 10163 6585;
273 : 8480 4942 14611;
274 : 8336 10919 7821;
275 : 13518 11230 14846;
276 : 1353 9544 5921;
277 : 13317 3406 5638;
278 : 5434 14794 9069;
279 : 6002 4996 457;
280 : 543 1509 1318;
281 : 2406 8180 3390;
282 : 13444 8401 3260;
283 : 874 5102 9928;
284 : 11276 13558 14436;
285 : 1400 13133 1300;
286 : 11175 7926 10072;
287 : 2558 11831 9916;
288 : 8387 13398 11464;
289 : 2179 5220 8563;
290 : 554 14935 12867;
291 : 6176 13612 6239;
292 : 7705 3868 14999;
293 : 2898 13686 600;
294 : 2749 3599 5548;
295 : 1213 12005 2572;
296 : 6151 7350 14123;
297 : 10982 5082 9873;
298 : 79 1608 1647;
299 : 11586 12310 8477;
300 : 10194 6223 7981;
301 : 7930 7240 8519;
302 : 13681 13610 11836;
303 : 6686 13525 9718;
304 : 7124 9088 7947;
305 : 11301 2586 9417;
306 : 2340 3085 1407;
307 : 7501 11324 717;
308 : 4161 12197 2104;
309 : 1207 11017 12017;
310 : 1132 13313 11149;
311 : 14993 10107 8258;
312 : 6668 13830 12845;
313 : 9379 4023 11243;
314 : 8457 12456 9476;
315 : 12748 5989 2477;
316 : 14758 1312 13223;
317 : 4793 1596 11623;
318 : 10863 8120 9738;
319 : 10093 9159 4837;
320 : 2235 12565 7691;
321 : 6430 6063 7373;
322 : 12920 395 8800;
323 : 616 6864 5654;
324 : 13362 6595 3629;
325 : 252 14723 10713;
326 : 12392 2508 14216;
327 : 4489 8902 2173;
328 : 6499 7256 2684;
329 : 3796 3529 10033;
330 : 6724 5903 13473;
331 : 131 8775 6850;
332 : 5808 11026 7435;
333 : 2872 9137 14230;
334 : 2168 11148 10107;
335 : 676 4456 12086;
336 : 4382 165 154;
337 : 4568 10284 11589;
338 : 7451 9496 8297;
339 : 11659 12172 5122;
340 : 8902 4466 2051;
341 : 6947 7035 2760;
342 : 10365 11353 9830;
343 : 13358 8211 11583;
344 : 7859 10799 2412;
345 : 13171 4383 1202;
346 : 1691 7809 3392;
347 : 6702 223 8677;
348 : 9439 8519 6279;
349 : 10304 9160 8145;
350 : 8654 3080 14995;
351 : 6511 3805 1869;
352 : 5012 5190 14166;
353 : 10901 35 9621;
354 : 5483 13726 11443;
355 : 7918 1960 5772;
356 : 6916 5852 7610;
357 : 190 10554 2795;
358 : 13699 4245 9879;
359 : 626 12372 2000;
360 : 702 13755 1049;
361 : 8132 649 12835;
362 : 7640 2594 12238;
363 : 2538 2529 13378;
364 : 4751 11367 7917;
365 : 10195 1190 7251;
366 : 14463 11035 4403;
367 : 2617 14187 11021;
368 : 763 1084 6153;
369 : 7477 7411 2953;
370 : 13900 976 14687;
371 : 7107 4533 10976;
372 : 5721 14088 3219;
373 : 6883 9616 13541;
374 : 12040 6590 8390;
375 : 14169 8382 12357;
376 : 10632 3594 14248;
377 : 7505 3466 3748;
378 : 4694 13008 12604;
379 : 3847 7748 8803;
380 : 14232 8880 1390;
381 : 5244 6920 2457;
382 : 14321 5346 11727;
383 : 8018 4484 126;
384 : 3989 14302 8277;
385 : 392 12788 13510;
386 : 10235 11455 4852;
387 : 12505 7599 13981;
388 : 7196 3915 3964;
389 : 10528 7218 7998;
390 : 13792 3215 10601;
391 : 591 8362 7059;
392 : 2607 4520 385;
393 : 6361 2706 3772;
394 : 8241 13125 14431;
395 : 322 6403 8269;
396 : 4502 13714 10479;
397 : 12990 9087 12659;
398 : 14947 8072 13235;
399 : 12524 3515 3042;
400 : 14768 8322 3232;
401 : 12961 1625 10244;
402 : 10450 7523 11385;
403 : 7430 8053 12285;
404 : 11686 7586 3242;
405 : 7022 1773 7288;
406 : 5513 5372 9545;
407 : 3331 7925 6389;
408 : 872 4377 7696;
409 : 14209 9866 5619;
410 : 10394 570 14546;
411 : 8933 8368 7423;
412 : 7937 7317 11040;
413 : 5776 11713 4088;
414 : 1078 3358 2316;
415 : 4860 12307 12253;
416 : 37 4504 7109;
417 : 8338 6214 13795;
418 : 9086 5542 7295;
419 : 13356 8682 14874;
420 : 3560 4730 7438;
421 : 13391 3999 8714;
422 : 9866 127 13583;
423 : 3492 13860 1442;
424 : 9655 8160 706;
425 : 8729 3942 11479;
426 : 6708 4709 10191;
427 : 9785 1281 210;
428 : 14882 3099 875;
429 : 9101 12222 6473;
430 : 10195 7349 1598;
431 : 5719 247 6509;
432 : 13070 10799 4833;
433 : 7967 13257 10361;
434 : 1650 2456 11511;
435 : 8349 7503 10552;
436 : 14228 6843 6793;
437 : 3053 2092 8388;
438 : 13139 3933 14970;
439 : 3962 9317 5812;
440 : 2812 14135 14964;
441 : 12492 8438 13318;
442 : 2470 3820 3477;
443 : 11346 2076 10471;
444 : 11327 13552 10027;
445 : 1634 8526 11447;
446 : 6342 12094 14561;
447 : 10441 7332 4958;
448 : 12599 8776 703;
449 : 13453 14633 11754;
450 : 4671 11797 10643;
451 : 8172 11780 13825;
452 : 12786 9009 93;
453 : 12490 11167 13424;
454 : 14062 12428 8753;
455 : 1237 10300 2874;
456 : 3679 6314 12067;
457 : 279 10675 8751;
458 : 10628 14193 1642;
459 : 6728 8259 4633;
460 : 7110 4013 4171;
461 : 730 4025 9260;
462 : 12543 6117 5666;
463 : 11627 12125 6227;
464 : 14362 12739 13669;
465 : 8549 2242 2799;
466 : 6592 1584 11104;
467 : 9209 12745 11549;
468 : 12395 4692 1949;
469 : 12942 13245 9335;
470 : 1651 9949 916;
471 : 7347 7182 1188;
472 : 6837 5371 12290;
473 : 13166 7963 3720;
474 : 4005 4161 11355;
475 : 9011 5876 10581;
476 : 7286 2268 9429;
477 : 13472 597 10509;
478 : 3006 7203 1454;
479 : 258 10921 13789;
480 : 5971 939 4510;
481 : 14081 9989 13732;
482 : 1826 7876 8034;
483 : 14837 13753 14311;
484 : 13803 2344 11508;
485 : 4353 6243 11061;
486 : 8909 7255 5582;
487 : 14278 13822 2019;
488 : 3569 10284 1043;
489 : 9503 7419 11999;
490 : 14558 3318 11376;
491 : 10551 239 2429;
492 : 6836 4597 1249;
493 : 14825 12923 13459;
494 : 9642 9462 11955;
495 : 836 13302 11282;
496 : 6321 2359 12568;
497 : 8643 11536 10060;
498 : 5131 1654 4219;
499 : 4972 9823 11198;
500 : 1048 7081 7135;
501 : 6070 7511 3808;
502 : 7122 11326 843;
503 : 2698 12973 5458;
504 : 6137 10014 14090;
505 : 1360 3663 10620;
506 : 10946 3330 7309;
507 : 8094 2633 14471;
508 : 8568 10199 14921;
509 : 13594 6354 4224;
510 : 6368 12219 5317;
511 : 13588 8738 12404;
512 : 10342 6241 4217;
513 : 9119 9447 7689;
514 : 1525 3283 1367;
515 : 5104 9378 2341;
516 : 4591 7357 10417;
517 : 6696 6348 4546;
518 : 6552 8636 9698;
519 : 12042 4018 47;
520 : 14403 9789 1128;
521 : 5198 10774 8272;
522 : 8603 8193 1929;
523 : 12890 4702 13465;
524 : 12625 13435 12471;
525 : 14513 7068 9254;
526 : 10567 98 5491;
527 : 2104 11929 9284;
528 : 4969 5006 2065;
529 : 4297 10182 7676;
530 : 8550 2298 4534;
531 : 12305 7602 8196;
532 : 802 14819 13991;
533 : 8504 11304 14144;
534 : 8987 11088 728;
535 : 63 2670 13990;
536 : 14102 3336 13301;
537 : 2796 4468 4480;
538 : 4051 6336 12185;
539 : 10653 8170 663;
540 : 8261 5204 8050;
541 : 14972 11605 8067;
542 : 6736 14664 4131;
543 : 12151 6802 280;
544 : 8927 3465 12718;
545 : 11934 1335 1055;
546 : 9016 3856 3077;
547 : 14464 2900 1579;
548 : 3518 8511 8924;
549 : 9919 12243 14081;
550 : 5731 12179 5476;
551 : 12596 10129 12973;
552 : 7523 4734 4556;
553 : 1904 10818 2379;
554 : 6929 290 6682;
555 : 1598 12927 11251;
556 : 13711 8092 1992;
557 : 12782 13288 13469;
558 : 6902 1017 8604;
559 : 1891 4085 8581;
560 : 12639 3551 4086;
561 : 5256 14061 9595;
562 : 5251 13081 2346;
563 : 14126 2226 14219;
564 : 13204 8376 14526;
565 : 13839 1891 3768;
566 : 6579 11074 12605;
567 : 14754 6249 2754;
568 : 3980 8325 13122;
569 : 12876 13792 9500;
570 : 410 14095 13116;
571 : 10419 2355 13597;
572 : 7691 13476 10364;
573 : 9219 13019 10738;
574 : 5130 13885 10495;
575 : 8144 4183 10610;
576 : 2435 5214 3442;
577 : 6078 1662 11596;
578 : 14151 7004 9907;
579 : 13257 14686 12987;
580 : 14240 13393 12820;
581 : 12530 237 7715;
582 : 14678 1581 12360;
583 : 3425 12087 8532;
584 : 3107 11170 9010;
585 : 13267 9558 12152;
586 : 14990 8528 1820;
587 : 14963 13078 9322;
588 : 8955 14766 14701;
589 : 2102 666 13535;
590 : 1770 13942 3132;
591 : 6711 3725 391;
592 : 3227 4507 4604;
593 : 14286 8213 13823;
594 : 10773 5493 3753;
595 : 1307 4767 3001;
596 : 11281 2472 3369;
597 : 6408 10765 477;
598 : 14459 9691 6847;
599 : 8805 5746 12388;
600 : 12463 293 3738;
601 : 2848 1211 13014;
602 : 8148 10989 1629;
603 : 2532 1228 10025;
604 : 12053 12701 7073;
605 : 13200 9574 10299;
606 : 142 14198 5880;
607 : 1810 2214 3975;
608 : 12665 10265 1777;
609 : 12886 6603 11342;
610 : 13293 9412 5729;
611 : 2663 4308 14427;
612 : 10887 14188 3443;
613 : 10505 5721 3233;
614 : 10322 6219 13254;
615 : 5758 11938 14929;
616 : 7055 323 7897;
617 : 10311 14104 3489;
618 : 10788 2571 5873;
619 : 7082 7475 3395;
620 : 2381 2224 14928;
621 : 268 11176 2278;
622 : 9201 7626 13897;
623 : 2156 5868 8996;
624 : 967 12158 14933;
625 : 5475 3425 3333;
626 : 1470 359 12736;
627 : 9776 10020 11793;
628 : 4007 237 6431;
629 : 2272 9766 9024;
630 : 11293 8137 7319;
631 : 13061 4303 4254;
632 : 2447 1430 2542;
633 : 4394 8915 8129;
634 : 11402 3802 11666;
635 : 8212 197 12873;
636 : 9453 2500 1624;
637 : 10673 14493 8644;
638 : 7224 10093 10799;
639 : 6131 3320 12848;
640 : 9730 1982 9959;
641 : 6157 4110 8544;
642 : 13097 3759 12925;
643 : 11387 14986 1533;
644 : 3182 14478 11541;
645 : 14007 5373 9617;
646 : 1969 3809 8465;
647 : 1945 14199 12829;
648 : 12202 11549 12279;
649 : 12138 361 4825;
650 : 14838 854 5951;
651 : 6073 10025 9565;
652 : 8040 11622 9641;
653 : 4375 11596 6439;
654 : 9669 14958 9415;
655 : 14614 12943 12546;
656 : 3069 10004 7255;
657 : 12934 4252 12343;
658 : 14278 13431 7671;
659 : 8141 8163 7004;
660 : 3625 14925 14561;
661 : 1921 6788 4852;
662 : 4672 7496 8097;
663 : 539 9614 13667;
664 : 14267 9670 5623;
665 : 12225 14914 13879;
666 : 4466 589 11535;
667 : 14152 8508 8368;
668 : 7748 5201 1964;
669 : 11362 14073 11499;
670 : 9580 8608 4185;
671 : 9931 2675 5951;
672 : 13920 5880 8108;
673 : 13342 3003 8925;
674 : 10668 1277 5514;
675 : 11059 2615 10160;
676 : 14973 335 14809;
677 : 9856 13288 6356;
678 : 9899 13470 8930;
679 : 3885 7776 10701;
680 : 1798 11292 2102;
681 : 4187 14721 10835;
682 : 7626 4663 14990;
683 : 5920 10589 6921;
684 : 13656 14098 10202;
685 : 4906 6934 11824;
686 : 4258 8209 11674;
687 : 7031 3461 12147;
688 : 10490 1326 7156;
689 : 14789 13534 8218;
690 : 9518 2140 14572;
691 : 3770 8880 10067;
692 : 5373 12571 11881;
693 : 12250 10994 9560;
694 : 14011 9480 10589;
695 : 8488 5878 14327;
696 : 12230 9613 2183;
697 : 6939 6081 13938;
698 : 9336 1493 1585;
699 : 11315 13777 14211;
700 : 13292 9719 13511;
701 : 9684 2129 9625;
702 : 360 4724 5735;
703 : 14558 2589 448;
704 : 3265 14293 9997;
705 : 3574 1122 14225;
706 : 6795 2923 424;
707 : 6125 12587 3811;
708 : 7704 14422 6132;
709 : 14777 178 9994;
710 : 5292 13653 8811;
711 : 5123 2220 1521;
712 : 2759 13 10612;
713 : 9840 9011 12850;
714 : 5677 14497 14580;
715 : 3986 12817 1032;
716 : 6387 12396 3675;
717 : 307 5980 5563;
718 : 850 11227 2328;
719 : 5 8192 8532;
720 : 2023 2670 11397;
721 : 12277 8724 13777;
722 : 5827 7326 6714;
723 : 5946 2968 1101;
724 : 12804 13428 10186;
725 : 14382 1351 12226;
726 : 4753 13496 7930;
727 : 13095 6888 6212;
728 : 534 10125 10112;
729 : 4550 12735 6082;
730 : 4368 461 8974;
731 : 6895 1562 12340;
732 : 1135 1515 10121;
733 : 12382 13801 2030;
734 : 9658 2562 12523;
735 : 9269 10832 14394;
736 : 5439 7353 1139;
737 : 6897 12014 5347;
738 : 2545 10998 1303;
739 : 12851 9208 2462;
740 : 13417 12708 4721;
741 : 13774 7772 10343;
742 : 2844 2638 14138;
743 : 14308 4971 7376;
744 : 9072 3334 9985;
745 : 9178 2876 10799;
746 : 11690 13087 3469;
747 : 12536 4929 14266;
748 : 13049 7792 3136;
749 : 2664 9951 6067;
750 : 9324 2516 1270;
751 : 1986 7823 8772;
752 : 2036 11427 3356;
753 : 13246 5553 9022;
754 : 13118 10462 12090;
755 : 1433 3219 14769;
756 : 10678 12127 10696;
757 : 9774 6769 3514;
758 : 9743 12147 12018;
759 : 12407 8838 7023;
760 : 10658 10814 5375;
761 : 14156 6299 14038;
762 : 3796 13584 7161;
763 : 368 11068 13512;
764 : 10057 13783 3485;
765 : 9320 11867 2802;
766 : 110 14313 13270;
767 : 1493 12103 10850;
768 : 944 4296 11769;
769 : 8186 1887 12247;
770 : 11192 12757 11173;
771 : 2815 2023 11217;
772 : 10351 9267 11077;
773 : 4270 4878 2067;
774 : 2524 3138 10911;
775 : 11755 10812 13677;
776 : 12993 4309 2982;
777 : 12257 7343 3529;
778 : 10961 11191 10227;
779 : 9907 14915 8067;
780 : 3049 9589 8441;
781 : 3415 3784 8286;
782 : 7911 2517 2596;
783 : 13492 14351 4045;
784 : 8319 7294 13217;
785 : 2527 8914 10248;
786 : 13728 9133 1498;
787 : 12840 7085 9948;
788 : 9876 12113 9505;
789 : 4189 11903 12411;
790 : 10588 13430 227;
791 : 9021 1966 4353;
792 : 12975 6052 984;
793 : 8318 14674 14180;
794 : 2456 10245 2896;
795 : 217 2430 7875;
796 : 9509 13372 13556;
797 : 5075 9858 13279;
798 : 3648 1398 9060;
799 : 10782 11407 7525;
800 : 9249 6199 6986;
801 : 9092 11130 13421;
802 : 532 14614 14168;
803 : 1984 8826 3621;
804 : 14708 2855 14273;
805 : 10378 7643 4286;
806 : 10317 12651 11793;
807 : 8379 2343 13002;
808 : 1486 8388 9237;
809 : 9587 8787 14413;
810 : 840 10109 13276;
811 : 2893 269 11062;
812 : 7188 10399 14015;
813 : 6426 12154 63;
814 : 10282 8503 13352;
815 : 9146 11381 4802;
816 : 1071 9699 9573;
817 : 8431 10345 6223;
818 : 10016 12907 10261;
819 : 13656 8295 2081;
820 : 12472 13999 12057;
821 : 11592 13790 14234;
822 : 836 8662 12091;
823 : 14682 10841 9375;
824 : 9746 7918 9780;
825 : 12859 6435 6758;
826 : 2554 14591 11805;
827 : 13059 7562 1504;
828 : 14749 8716 10706;
829 : 6010 14709 14931;
830 : 13277 7740 6303;
831 : 4882 8218 14115;
832 : 9022 2572 7522;
833 : 4097 7076 14048;
834 : 956 3243 1310;
835 : 11394 2295 14616;
836 : 8496 495 822;
837 : 8469 4020 7401;
838 : 14080 14339 9647;
839 : 2237 7665 13910;
840 : 810 12158 12550;
841 : 12639 8023 10491;
842 : 7923 13485 8110;
843 : 9392 502 3939;
844 : 6335 10420 1616;
845 : 1883 13543 13894;
846 : 11122 9604 12814;
847 : 12820 12770 8986;
848 : 12485 14510 11985;
849 : 10318 2064 10819;
850 : 5787 1828 718;
851 : 7762 11236 10366;
852 : 8998 6533 7306;
853 : 4579 1601 5797;
854 : 650 9661 14233;
855 : 14899 1590 3355;
856 : 2549 12324 13258;
857 : 6398 8426 12657;
858 : 3381 7592 1862;
859 : 13910 5591 13616;
860 : 5242 12683 10002;
861 : 7162 3304 257;
862 : 11742 11198 12544;
863 : 8952 13900 11356;
864 : 14076 5156 2658;
865 : 1400 6982 9438;
866 : 13394 13510 7769;
867 : 2728 2362 4829;
868 : 5907 13277 8131;
869 : 7665 6927 14740;
870 : 8931 4682 3559;
871 : 8576 1497 5212;
872 : 6599 408 13890;
873 : 5554 12857 6059;
874 : 7134 283 10670;
875 : 2665 428 13540;
876 : 5079 14718 10246;
877 : 3572 11850 11209;
878 : 7628 2435 953;
879 : 78 166 5009;
880 : 9006 13366 1560;
881 : 11103 13344 10827;
882 : 12160 5407 1386;
883 : 10303 7387 8493;
884 : 11466 12366 1072;
885 : 3182 14501 13512;
886 : 2779 5555 3767;
887 : 9085 11084 11284;
888 : 10169 10280 9564;
889 : 9163 4030 5892;
890 : 5502 8302 11828;
891 : 9457 11685 3886;
892 : 10817 2833 8024;
893 : 8391 48 14724;
894 : 5739 8231 6615;
895 : 13869 8424 7920;
896 : 6289 9035 10597;
897 : 6152 4139 6664;
898 : 7662 10005 14002;
899 : 4655 3760 9327;
900 : 3984 3657 14428;
901 : 13406 11545 11202;
902 : 10911 10306 12050;
903 : 7551 4986 5205;
904 : 11405 6892 2304;
905 : 3541 2816 8380;
906 : 11113 12050 5792;
907 : 5702 9015 11341;
908 : 1683 8942 13387;
909 : 1635 12574 10498;
910 : 5062 13248 5120;
911 : 4175 4575 1304;
912 : 4899 5529 3884;
913 : 3795 10324 7315;
914 : 12019 14256 4208;
915 : 10584 14475 14261;
916 : 1906 470 13141;
917 : 10704 6806 6041;
918 : 3665 9440 8808;
919 : 6688 12502 10442;
920 : 10357 2100 8121;
921 : 1185 10061 8579;
922 : 4522 1797 12375;
923 : 5274 8923 8907;
924 : 5603 7790 3749;
925 : 2751 4818 11105;
926 : 11495 13127 3963;
927 : 13455 10692 8365;
928 : 12220 8182 9064;
929 : 13335 13344 3754;
930 : 5405 14641 3899;
931 : 10013 4491 9623;
932 : 5561 13610 6424;
933 : 8728 12865 12105;
934 : 7724 8980 1067;
935 : 10903 12644 4499;
936 : 14742 6728 10992;
937 : 13969 1322 2605;
938 : 11628 8255 11953;
939 : 7254 11995 480;
940 : 9656 14369 12421;
941 : 5032 1694 5716;
942 : 3654 3203 12854;
943 : 14315 14032 7336;
944 : 768 13151 11194;
945 : 7317 12495 6995;
946 : 14311 3165 5277;
947 : 10540 5424 2611;
948 : 3296 6047 2215;
949 : 12056 9291 13298;
950 : 13100 4643 12562;
951 : 14120 2448 5354;
952 : 10918 7655 8224;
953 : 878 7894 8878;
954 : 4128 9362 8422;
955 : 9426 11997 3157;
956 : 8094 834 4721;
957 : 987 3697 4506;
958 : 13658 13244 7344;
959 : 6293 13206 12443;
960 : 13832 6053 7986;
961 : 12016 2571 10844;
962 : 7919 9876 6703;
963 : 14093 8047 4302;
964 : 139 8036 14007;
965 : 10736 10654 12499;
966 : 10129 13512 13424;
967 : 121 624 13195;
968 : 14207 13775 14982;
969 : 10529 14608 5879;
970 : 5616 8191 5472;
971 : 2696 10224 11031;
972 : 4396 11459 1655;
973 : 8268 3476 9613;
974 : 4949 2479 10739;
975 : 4624 10728 5066;
976 : 370 1960 6216;
977 : 14365 10881 2282;
978 : 2533 14381 10667;
979 : 5236 11455 11309;
980 : 10079 11776 9166;
981 : 14830 10117 9295;
982 : 2558 11100 14659;
983 : 13570 12120 8124;
984 : 792 12771 3403;
985 : 1390 12005 8312;
986 : 235 11856 10430;
987 : 4769 957 1764;
988 : 12089 8000 4531;
989 : 9900 14334 12147;
990 : 14182 4166 4001;
991 : 6914 12751 5519;
992 : 8553 6658 10425;
993 : 12998 9754 12118;
994 : 11840 9441 6203;
995 : 13658 14892 3870;
996 : 12579 8158 5098;
997 : 11814 2709 1375;
998 : 12423 3917 7526;
999 : 14176 10281 3203;
1000 : 4138 14020 3184;
1001 : 7997 4919 222;
1002 : 1096 12682 8019;
1003 : 11792 1936 10879;
1004 : 4628 7440 7991;
1005 : 8007 7126 3779;
1006 : 9781 4693 252;
1007 : 14325 7846 6388;
1008 : 14019 6604 1929;
